,dogs_name,images
118,spaniel-irish,"['https://images.dog.ceo/breeds/spaniel-irish/n02102973_746.jpg'
 'https://images.dog.ceo/breeds/spaniel-irish/n02102973_645.jpg'
 'https://images.dog.ceo/breeds/spaniel-irish/n02102973_944.jpg'
 'https://images.dog.ceo/breeds/spaniel-irish/n02102973_1725.jpg']"
119,spaniel-japanese,['https://images.dog.ceo/breeds/spaniel-japanese/n02085782_1724.jpg']
120,spaniel-welsh,"['https://images.dog.ceo/breeds/spaniel-welsh/n02102177_248.jpg'
 'https://images.dog.ceo/breeds/spaniel-welsh/n02102177_1763.jpg'
 'https://images.dog.ceo/breeds/spaniel-welsh/n02102177_2611.jpg'
 'https://images.dog.ceo/breeds/spaniel-welsh/n02102177_4181.jpg']"
121,spitz-indian,['https://images.dog.ceo/breeds/spitz-indian/Indian_Spitz.jpg']
122,spitz-japanese,"['https://images.dog.ceo/breeds/spitz-japanese/beet-003.jpg'
 'https://images.dog.ceo/breeds/spitz-japanese/beet-001.jpg']"
123,springer-english,"['https://images.dog.ceo/breeds/springer-english/n02102040_858.jpg'
 'https://images.dog.ceo/breeds/springer-english/n02102040_3767.jpg']"
124,stbernard,"['https://images.dog.ceo/breeds/stbernard/n02109525_1880.jpg'
 'https://images.dog.ceo/breeds/stbernard/n02109525_1864.jpg'
 'https://images.dog.ceo/breeds/stbernard/n02109525_7444.jpg'
 'https://images.dog.ceo/breeds/stbernard/n02109525_7085.jpg']"
125,terrier-american,"['https://images.dog.ceo/breeds/terrier-american/n02093428_3159.jpg'
 'https://images.dog.ceo/breeds/terrier-american/n02093428_443.jpg'
 'https://images.dog.ceo/breeds/terrier-american/n02093428_3397.jpg'
 'https://images.dog.ceo/breeds/terrier-american/n02093428_366.jpg'
 'https://images.dog.ceo/breeds/terrier-american/n02093428_592.jpg'
 'https://images.dog.ceo/breeds/terrier-american/n02093428_2603.jpg']"
126,terrier-australian,"['https://images.dog.ceo/breeds/terrier-australian/n02096294_8721.jpg'
 'https://images.dog.ceo/breeds/terrier-australian/n02096294_5176.jpg'
 'https://images.dog.ceo/breeds/terrier-australian/n02096294_4492.jpg']"
127,terrier-bedlington,"['https://images.dog.ceo/breeds/terrier-bedlington/n02093647_316.jpg'
 'https://images.dog.ceo/breeds/terrier-bedlington/n02093647_160.jpg']"
128,terrier-border,"['https://images.dog.ceo/breeds/terrier-border/n02093754_4332.jpg'
 'https://images.dog.ceo/breeds/terrier-border/n02093754_8047.jpg'
 'https://images.dog.ceo/breeds/terrier-border/n02093754_6248.jpg'
 'https://images.dog.ceo/breeds/terrier-border/n02093754_4072.jpg']"
129,terrier-cairn,"['https://images.dog.ceo/breeds/terrier-cairn/n02096177_5785.jpg'
 'https://images.dog.ceo/breeds/terrier-cairn/n02096177_152.jpg']"
130,terrier-irish,"['https://images.dog.ceo/breeds/terrier-irish/n02093991_716.jpg'
 'https://images.dog.ceo/breeds/terrier-irish/n02093991_4396.jpg']"
131,terrier-kerryblue,"['https://images.dog.ceo/breeds/terrier-kerryblue/n02093859_10.jpg'
 'https://images.dog.ceo/breeds/terrier-kerryblue/n02093859_1819.jpg']"
132,terrier-lakeland,['https://images.dog.ceo/breeds/terrier-lakeland/n02095570_5719.jpg']
133,terrier-norfolk,"['https://images.dog.ceo/breeds/terrier-norfolk/n02094114_315.jpg'
 'https://images.dog.ceo/breeds/terrier-norfolk/n02094114_3920.jpg']"
134,terrier-norwich,"['https://images.dog.ceo/breeds/terrier-norwich/n02094258_3315.jpg'
 'https://images.dog.ceo/breeds/terrier-norwich/n02094258_2070.jpg'
 'https://images.dog.ceo/breeds/terrier-norwich/n02094258_2816.jpg'
 'https://images.dog.ceo/breeds/terrier-norwich/n02094258_1918.jpg']"
135,terrier-patterdale,"['https://images.dog.ceo/breeds/terrier-patterdale/patterdale-terrier-287612805105275kBT.jpg'
 'https://images.dog.ceo/breeds/terrier-patterdale/Patterdale.jpg']"
136,terrier-scottish,"['https://images.dog.ceo/breeds/terrier-scottish/n02097298_3780.jpg'
 'https://images.dog.ceo/breeds/terrier-scottish/n02097298_4092.jpg'
 'https://images.dog.ceo/breeds/terrier-scottish/n02097298_10676.jpg']"
137,terrier-sealyham,"['https://images.dog.ceo/breeds/terrier-sealyham/n02095889_3364.jpg'
 'https://images.dog.ceo/breeds/terrier-sealyham/n02095889_6442.jpg'
 'https://images.dog.ceo/breeds/terrier-sealyham/n02095889_1736.jpg'
 'https://images.dog.ceo/breeds/terrier-sealyham/n02095889_1582.jpg']"
138,terrier-tibetan,"['https://images.dog.ceo/breeds/terrier-tibetan/n02097474_86.jpg'
 'https://images.dog.ceo/breeds/terrier-tibetan/n02097474_5280.jpg']"
139,terrier-toy,"['https://images.dog.ceo/breeds/terrier-toy/n02087046_5203.jpg'
 'https://images.dog.ceo/breeds/terrier-toy/n02087046_224.jpg']"
140,terrier-welsh,['https://images.dog.ceo/breeds/terrier-welsh/lucy.jpg']
141,terrier-westhighland,"['https://images.dog.ceo/breeds/terrier-westhighland/n02098286_4176.jpg'
 'https://images.dog.ceo/breeds/terrier-westhighland/n02098286_5814.jpg'
 'https://images.dog.ceo/breeds/terrier-westhighland/n02098286_5979.jpg']"
142,terrier-wheaten,"['https://images.dog.ceo/breeds/terrier-wheaten/n02098105_1190.jpg'
 'https://images.dog.ceo/breeds/terrier-wheaten/n02098105_838.jpg'
 'https://images.dog.ceo/breeds/terrier-wheaten/n02098105_91.jpg'
 'https://images.dog.ceo/breeds/terrier-wheaten/n02098105_1578.jpg']"
143,terrier-yorkshire,"['https://images.dog.ceo/breeds/terrier-yorkshire/n02094433_2782.jpg'
 'https://images.dog.ceo/breeds/terrier-yorkshire/n02094433_3480.jpg']"
144,tervuren,"['https://images.dog.ceo/breeds/tervuren/yoda_in_garden.jpg'
 'https://images.dog.ceo/breeds/tervuren/shadow_and_lake.jpg']"
145,vizsla,"['https://images.dog.ceo/breeds/vizsla/n02100583_12614.jpg'
 'https://images.dog.ceo/breeds/vizsla/n02100583_3987.jpg'
 'https://images.dog.ceo/breeds/vizsla/n02100583_12793.jpg']"
146,waterdog-spanish,"['https://images.dog.ceo/breeds/waterdog-spanish/20190208_063211.jpg'
 'https://images.dog.ceo/breeds/waterdog-spanish/20180714_201544.jpg']"
147,weimaraner,"['https://images.dog.ceo/breeds/weimaraner/n02092339_1796.jpg'
 'https://images.dog.ceo/breeds/weimaraner/n02092339_3354.jpg'
 'https://images.dog.ceo/breeds/weimaraner/n02092339_93.jpg'
 'https://images.dog.ceo/breeds/weimaraner/n02092339_6430.jpg']"
148,whippet,"['https://images.dog.ceo/breeds/whippet/n02091134_10548.jpg'
 'https://images.dog.ceo/breeds/whippet/n02091134_10618.jpg'
 'https://images.dog.ceo/breeds/whippet/n02091134_14047.jpg'
 'https://images.dog.ceo/breeds/whippet/n02091134_15846.jpg'
 'https://images.dog.ceo/breeds/whippet/n02091134_1131.jpg']"
149,wolfhound-irish,"['https://images.dog.ceo/breeds/wolfhound-irish/n02090721_1979.jpg'
 'https://images.dog.ceo/breeds/wolfhound-irish/n02090721_5518.jpg'
 'https://images.dog.ceo/breeds/wolfhound-irish/n02090721_1026.jpg']"
