,dogs_name,images
29,cotondetulear,"['https://images.dog.ceo/breeds/cotondetulear/100_2013.jpg'
 'https://images.dog.ceo/breeds/cotondetulear/IMAG1063.jpg']"
30,dachshund,"['https://images.dog.ceo/breeds/dachshund/puppy-1006024_640.jpg'
 'https://images.dog.ceo/breeds/dachshund/dachshund-3.jpg'
 'https://images.dog.ceo/breeds/dachshund/Daschund_Wirehair.jpg'
 'https://images.dog.ceo/breeds/dachshund/dog-1083690_640.jpg'
 'https://images.dog.ceo/breeds/dachshund/dog-495133_640.jpg']"
31,dalmatian,"['https://images.dog.ceo/breeds/dalmatian/cooper1.jpg'
 'https://images.dog.ceo/breeds/dalmatian/cooper2.jpg']"
32,dane-great,"['https://images.dog.ceo/breeds/dane-great/n02109047_12966.jpg'
 'https://images.dog.ceo/breeds/dane-great/n02109047_1260.jpg'
 'https://images.dog.ceo/breeds/dane-great/n02109047_1005.jpg']"
33,danish-swedish-farmdog,"['https://images.dog.ceo/breeds/danish-swedish-farmdog/ebba_004.jpg'
 'https://images.dog.ceo/breeds/danish-swedish-farmdog/ebba_001.jpg']"
34,deerhound-scottish,"['https://images.dog.ceo/breeds/deerhound-scottish/n02092002_3301.jpg'
 'https://images.dog.ceo/breeds/deerhound-scottish/n02092002_9863.jpg']"
35,dhole,"['https://images.dog.ceo/breeds/dhole/n02115913_3998.jpg'
 'https://images.dog.ceo/breeds/dhole/n02115913_3115.jpg'
 'https://images.dog.ceo/breeds/dhole/n02115913_4119.jpg']"
36,dingo,"['https://images.dog.ceo/breeds/dingo/n02115641_8746.jpg'
 'https://images.dog.ceo/breeds/dingo/n02115641_7679.jpg'
 'https://images.dog.ceo/breeds/dingo/n02115641_13237.jpg'
 'https://images.dog.ceo/breeds/dingo/n02115641_5687.jpg'
 'https://images.dog.ceo/breeds/dingo/n02115641_4737.jpg'
 'https://images.dog.ceo/breeds/dingo/n02115641_1674.jpg']"
37,doberman,"['https://images.dog.ceo/breeds/doberman/n02107142_6439.jpg'
 'https://images.dog.ceo/breeds/doberman/n02107142_5783.jpg']"
38,elkhound-norwegian,"['https://images.dog.ceo/breeds/elkhound-norwegian/n02091467_815.jpg'
 'https://images.dog.ceo/breeds/elkhound-norwegian/n02091467_488.jpg']"
39,entlebucher,['https://images.dog.ceo/breeds/entlebucher/n02108000_1060.jpg']
40,eskimo,"['https://images.dog.ceo/breeds/eskimo/n02109961_3956.jpg'
 'https://images.dog.ceo/breeds/eskimo/n02109961_7781.jpg'
 'https://images.dog.ceo/breeds/eskimo/n02109961_5772.jpg'
 'https://images.dog.ceo/breeds/eskimo/n02109961_3479.jpg'
 'https://images.dog.ceo/breeds/eskimo/n02109961_3027.jpg']"
41,finnish-lapphund,['https://images.dog.ceo/breeds/finnish-lapphund/mochilamvan.jpg']
42,frise-bichon,['https://images.dog.ceo/breeds/frise-bichon/6.jpg']
43,gaddi-indian,['https://images.dog.ceo/breeds/gaddi-indian/Gaddi.jpg']
44,germanshepherd,"['https://images.dog.ceo/breeds/germanshepherd/n02106662_3431.jpg'
 'https://images.dog.ceo/breeds/germanshepherd/n02106662_14930.jpg']"
45,greyhound-indian,['https://images.dog.ceo/breeds/greyhound-indian/rampur-greyhound.jpg']
46,greyhound-italian,"['https://images.dog.ceo/breeds/greyhound-italian/n02091032_7813.jpg'
 'https://images.dog.ceo/breeds/greyhound-italian/n02091032_1680.jpg']"
47,groenendael,"['https://images.dog.ceo/breeds/groenendael/n02105056_4601.jpg'
 'https://images.dog.ceo/breeds/groenendael/n02105056_1910.jpg'
 'https://images.dog.ceo/breeds/groenendael/n02105056_1960.jpg']"
48,havanese,"['https://images.dog.ceo/breeds/havanese/00100trPORTRAIT_00100_BURST20191222103956878_COVER.jpg'
 'https://images.dog.ceo/breeds/havanese/00100trPORTRAIT_00100_BURST20191112123933390_COVER.jpg'
 'https://images.dog.ceo/breeds/havanese/00100trPORTRAIT_00100_BURST20191126134713895_COVER.jpg']"
49,hound-afghan,['https://images.dog.ceo/breeds/hound-afghan/n02088094_1003.jpg']
50,hound-basset,"['https://images.dog.ceo/breeds/hound-basset/n02088238_13709.jpg'
 'https://images.dog.ceo/breeds/hound-basset/n02088238_9595.jpg'
 'https://images.dog.ceo/breeds/hound-basset/n02088238_363.jpg'
 'https://images.dog.ceo/breeds/hound-basset/n02088238_2574.jpg'
 'https://images.dog.ceo/breeds/hound-basset/n02088238_13847.jpg']"
51,hound-blood,"['https://images.dog.ceo/breeds/hound-blood/n02088466_7244.jpg'
 'https://images.dog.ceo/breeds/hound-blood/n02088466_9579.jpg'
 'https://images.dog.ceo/breeds/hound-blood/n02088466_6096.jpg'
 'https://images.dog.ceo/breeds/hound-blood/n02088466_8289.jpg'
 'https://images.dog.ceo/breeds/hound-blood/n02088466_1671.jpg'
 'https://images.dog.ceo/breeds/hound-blood/n02088466_7607.jpg']"
52,hound-english,"['https://images.dog.ceo/breeds/hound-english/n02089973_2608.jpg'
 'https://images.dog.ceo/breeds/hound-english/n02089973_2045.jpg'
 'https://images.dog.ceo/breeds/hound-english/n02089973_1877.jpg']"
53,hound-ibizan,"['https://images.dog.ceo/breeds/hound-ibizan/n02091244_822.jpg'
 'https://images.dog.ceo/breeds/hound-ibizan/n02091244_3874.jpg'
 'https://images.dog.ceo/breeds/hound-ibizan/n02091244_3278.jpg'
 'https://images.dog.ceo/breeds/hound-ibizan/n02091244_4031.jpg'
 'https://images.dog.ceo/breeds/hound-ibizan/n02091244_879.jpg'
 'https://images.dog.ceo/breeds/hound-ibizan/n02091244_3315.jpg'
 'https://images.dog.ceo/breeds/hound-ibizan/n02091244_86.jpg']"
54,hound-plott,"['https://images.dog.ceo/breeds/hound-plott/hhh-23456.jpg'
 'https://images.dog.ceo/breeds/hound-plott/hhh_plott002.jpg']"
55,hound-walker,"['https://images.dog.ceo/breeds/hound-walker/n02089867_712.jpg'
 'https://images.dog.ceo/breeds/hound-walker/n02089867_857.jpg'
 'https://images.dog.ceo/breeds/hound-walker/n02089867_1225.jpg'
 'https://images.dog.ceo/breeds/hound-walker/n02089867_1062.jpg'
 'https://images.dog.ceo/breeds/hound-walker/n02089867_2758.jpg']"
56,husky,"['https://images.dog.ceo/breeds/husky/n02110185_8600.jpg'
 'https://images.dog.ceo/breeds/husky/n02110185_5871.jpg'
 'https://images.dog.ceo/breeds/husky/n02110185_8154.jpg'
 'https://images.dog.ceo/breeds/husky/n02110185_184.jpg']"
57,keeshond,"['https://images.dog.ceo/breeds/keeshond/n02112350_6928.jpg'
 'https://images.dog.ceo/breeds/keeshond/n02112350_9889.jpg'
 'https://images.dog.ceo/breeds/keeshond/n02112350_7789.jpg']"
58,kelpie,"['https://images.dog.ceo/breeds/kelpie/n02105412_730.jpg'
 'https://images.dog.ceo/breeds/kelpie/n02105412_7514.jpg'
 'https://images.dog.ceo/breeds/kelpie/n02105412_1222.jpg'
 'https://images.dog.ceo/breeds/kelpie/n02105412_855.jpg'
 'https://images.dog.ceo/breeds/kelpie/n02105412_4569.jpg']"
59,kombai,['https://images.dog.ceo/breeds/kombai/Kombai-indian-Dog.jpg']
60,komondor,"['https://images.dog.ceo/breeds/komondor/n02105505_2872.jpg'
 'https://images.dog.ceo/breeds/komondor/n02105505_2570.jpg']"
61,kuvasz,"['https://images.dog.ceo/breeds/kuvasz/n02104029_4746.jpg'
 'https://images.dog.ceo/breeds/kuvasz/n02104029_2931.jpg'
 'https://images.dog.ceo/breeds/kuvasz/n02104029_2150.jpg']"
62,labradoodle,"['https://images.dog.ceo/breeds/labradoodle/labradoodle-forrest.jpg'
 'https://images.dog.ceo/breeds/labradoodle/Cali.jpg']"
63,labrador,"['https://images.dog.ceo/breeds/labrador/n02099712_2223.jpg'
 'https://images.dog.ceo/breeds/labrador/IMG_2397.jpg']"
64,leonberg,"['https://images.dog.ceo/breeds/leonberg/n02111129_1042.jpg'
 'https://images.dog.ceo/breeds/leonberg/n02111129_4903.jpg']"
65,lhasa,"['https://images.dog.ceo/breeds/lhasa/n02098413_2490.jpg'
 'https://images.dog.ceo/breeds/lhasa/n02098413_5474.jpg']"
66,malamute,"['https://images.dog.ceo/breeds/malamute/n02110063_14327.jpg'
 'https://images.dog.ceo/breeds/malamute/n02110063_11756.jpg'
 'https://images.dog.ceo/breeds/malamute/n02110063_17073.jpg'
 'https://images.dog.ceo/breeds/malamute/n02110063_1058.jpg']"
67,malinois,['https://images.dog.ceo/breeds/malinois/n02105162_4426.jpg']
68,maltese,"['https://images.dog.ceo/breeds/maltese/n02085936_2543.jpg'
 'https://images.dog.ceo/breeds/maltese/n02085936_4245.jpg'
 'https://images.dog.ceo/breeds/maltese/n02085936_126.jpg'
 'https://images.dog.ceo/breeds/maltese/n02085936_18640.jpg']"
69,mastiff-bull,"['https://images.dog.ceo/breeds/mastiff-bull/n02108422_1958.jpg'
 'https://images.dog.ceo/breeds/mastiff-bull/n02108422_1242.jpg'
 'https://images.dog.ceo/breeds/mastiff-bull/n02108422_3970.jpg'
 'https://images.dog.ceo/breeds/mastiff-bull/n02108422_3235.jpg'
 'https://images.dog.ceo/breeds/mastiff-bull/n02108422_4639.jpg'
 'https://images.dog.ceo/breeds/mastiff-bull/n02108422_4064.jpg'
 'https://images.dog.ceo/breeds/mastiff-bull/n02108422_2203.jpg']"
70,mastiff-english,"['https://images.dog.ceo/breeds/mastiff-english/4.jpg'
 'https://images.dog.ceo/breeds/mastiff-english/2.jpg']"
71,mastiff-indian,['https://images.dog.ceo/breeds/mastiff-indian/Indian_Mastiff.jpg']
72,mexicanhairless,"['https://images.dog.ceo/breeds/mexicanhairless/n02113978_530.jpg'
 'https://images.dog.ceo/breeds/mexicanhairless/n02113978_3743.jpg'
 'https://images.dog.ceo/breeds/mexicanhairless/n02113978_451.jpg'
 'https://images.dog.ceo/breeds/mexicanhairless/n02113978_131.jpg']"
73,mountain-bernese,"['https://images.dog.ceo/breeds/mountain-bernese/n02107683_5133.jpg'
 'https://images.dog.ceo/breeds/mountain-bernese/n02107683_2567.jpg']"
74,mountain-swiss,"['https://images.dog.ceo/breeds/mountain-swiss/n02107574_1132.jpg'
 'https://images.dog.ceo/breeds/mountain-swiss/n02107574_1467.jpg'
 'https://images.dog.ceo/breeds/mountain-swiss/n02107574_599.jpg'
 'https://images.dog.ceo/breeds/mountain-swiss/n02107574_1059.jpg']"
75,mudhol-indian,['https://images.dog.ceo/breeds/mudhol-indian/Indian-Mudhol.jpg']
76,newfoundland,"['https://images.dog.ceo/breeds/newfoundland/n02111277_4881.jpg'
 'https://images.dog.ceo/breeds/newfoundland/n02111277_2451.jpg'
 'https://images.dog.ceo/breeds/newfoundland/n02111277_7105.jpg']"
77,otterhound,"['https://images.dog.ceo/breeds/otterhound/n02091635_4175.jpg'
 'https://images.dog.ceo/breeds/otterhound/n02091635_2867.jpg']"
78,ovcharka-caucasian,"['https://images.dog.ceo/breeds/ovcharka-caucasian/IMG_20190826_112025.jpg'
 'https://images.dog.ceo/breeds/ovcharka-caucasian/IMG_20190708_073104.jpg'
 'https://images.dog.ceo/breeds/ovcharka-caucasian/IMG_20191108_140417.jpg']"
79,papillon,['https://images.dog.ceo/breeds/papillon/n02086910_1826.jpg']
80,pariah-indian,['https://images.dog.ceo/breeds/pariah-indian/The_Indian_Pariah_Dog.jpg']
81,pekinese,"['https://images.dog.ceo/breeds/pekinese/n02086079_9316.jpg'
 'https://images.dog.ceo/breeds/pekinese/n02086079_11684.jpg'
 'https://images.dog.ceo/breeds/pekinese/n02086079_2935.jpg'
 'https://images.dog.ceo/breeds/pekinese/n02086079_10603.jpg'
 'https://images.dog.ceo/breeds/pekinese/n02086079_15220.jpg']"
82,pembroke,['https://images.dog.ceo/breeds/pembroke/n02113023_6341.jpg']
83,pinscher-miniature,"['https://images.dog.ceo/breeds/pinscher-miniature/n02107312_5604.jpg'
 'https://images.dog.ceo/breeds/pinscher-miniature/n02107312_2478.jpg']"
84,pitbull,"['https://images.dog.ceo/breeds/pitbull/IMG_20190826_121528_876.jpg'
 'https://images.dog.ceo/breeds/pitbull/20190801_154956.jpg'
 'https://images.dog.ceo/breeds/pitbull/dog-5437227_640.jpg'
 'https://images.dog.ceo/breeds/pitbull/20190710_143021.jpg'
 'https://images.dog.ceo/breeds/pitbull/dog-3981540_1280.jpg'
 'https://images.dog.ceo/breeds/pitbull/dog-3981033_1280.jpg']"
85,pointer-german,['https://images.dog.ceo/breeds/pointer-german/n02100236_3677.jpg']
86,pointer-germanlonghair,"['https://images.dog.ceo/breeds/pointer-germanlonghair/hans1.jpg'
 'https://images.dog.ceo/breeds/pointer-germanlonghair/hans2.jpg'
 'https://images.dog.ceo/breeds/pointer-germanlonghair/hans3.jpg']"
87,pomeranian,"['https://images.dog.ceo/breeds/pomeranian/n02112018_687.jpg'
 'https://images.dog.ceo/breeds/pomeranian/n02112018_6214.jpg']"
88,poodle-medium,['https://images.dog.ceo/breeds/poodle-medium/WhatsApp_Image_2022-08-06_at_4.48.38_PM.jpg']
89,poodle-miniature,"['https://images.dog.ceo/breeds/poodle-miniature/n02113712_1036.jpg'
 'https://images.dog.ceo/breeds/poodle-miniature/n02113712_1088.jpg']"
90,poodle-standard,"['https://images.dog.ceo/breeds/poodle-standard/n02113799_341.jpg'
 'https://images.dog.ceo/breeds/poodle-standard/n02113799_2139.jpg'
 'https://images.dog.ceo/breeds/poodle-standard/n02113799_911.jpg']"
91,poodle-toy,"['https://images.dog.ceo/breeds/poodle-toy/n02113624_952.jpg'
 'https://images.dog.ceo/breeds/poodle-toy/n02113624_1756.jpg'
 'https://images.dog.ceo/breeds/poodle-toy/n02113624_7964.jpg'
 'https://images.dog.ceo/breeds/poodle-toy/n02113624_2883.jpg']"
92,pug,"['https://images.dog.ceo/breeds/pug/n02110958_9642.jpg'
 'https://images.dog.ceo/breeds/pug/n02110958_2144.jpg'
 'https://images.dog.ceo/breeds/pug/n02110958_3938.jpg'
 'https://images.dog.ceo/breeds/pug/n02110958_7801.jpg']"
93,puggle,"['https://images.dog.ceo/breeds/puggle/IMG_095312.jpg'
 'https://images.dog.ceo/breeds/puggle/IMG_151824.jpg'
 'https://images.dog.ceo/breeds/puggle/IMG_174753.jpg'
 'https://images.dog.ceo/breeds/puggle/IMG_114654.jpg'
 'https://images.dog.ceo/breeds/puggle/IMG_112010.jpg'
 'https://images.dog.ceo/breeds/puggle/IMG_041234.jpg'
 'https://images.dog.ceo/breeds/puggle/IMG_095543.jpg'
 'https://images.dog.ceo/breeds/puggle/IMG_104450.jpg']"
94,pyrenees,"['https://images.dog.ceo/breeds/pyrenees/n02111500_4315.jpg'
 'https://images.dog.ceo/breeds/pyrenees/n02111500_6387.jpg'
 'https://images.dog.ceo/breeds/pyrenees/n02111500_250.jpg'
 'https://images.dog.ceo/breeds/pyrenees/n02111500_2746.jpg'
 'https://images.dog.ceo/breeds/pyrenees/n02111500_1879.jpg']"
95,rajapalayam-indian,['https://images.dog.ceo/breeds/rajapalayam-indian/Rajapalayam-dog.jpg']
